"scenario","delta1","delta2","seed","method","silhouette","ari","alpha","omega","r"
"S1",1,1,30,"D0",0.305894700451231,0.902172069012875,NA,NA,NA
"S1",1,1,30,"D1",0.359745831595589,0.940707399698741,NA,NA,NA
"S1",1,1,30,"Df_silopt",0.359745831595589,0.940707399698741,1,NA,NA
"S1",1,1,30,"Ds",0.146835868800915,0.468405070741423,NA,NA,NA
"S1",1,1,30,"A",0.165235563500475,0.764913248124151,NA,NA,NA
"S1",1,1,30,"B_silopt",0.359745831595589,0.940707399698741,1,1,NA
"S1",1,1,30,"C_DK_ancien",0.173909127707171,0.891904043112731,1,NA,NA
"S1",1,1,30,"DK_reconstruit",0.162224485271464,0.864511459273697,NA,NA,7.20271561994935
"S1",1,1,31,"D0",0.297441722993748,0.820973665255667,NA,NA,NA
"S1",1,1,31,"D1",0.328784692454086,0.65333127643789,NA,NA,NA
"S1",1,1,31,"Df_silopt",0.328784692454086,0.65333127643789,1,NA,NA
"S1",1,1,31,"Ds",0.144800569855639,0.524938946465642,NA,NA,NA
"S1",1,1,31,"A",0.156328370970738,0.788029772730746,NA,NA,NA
"S1",1,1,31,"B_silopt",0.328784692454086,0.65333127643789,1,1,NA
"S1",1,1,31,"C_DK_ancien",0.171111284425591,0.903640081194203,1,NA,NA
"S1",1,1,31,"DK_reconstruit",0.164281762818408,0.970251515925403,NA,NA,6.96722443426761
"S1",1,1,32,"D0",0.297611616904145,0.803377222178599,NA,NA,NA
"S1",1,1,32,"D1",0.350204734171231,0.815203924473002,NA,NA,NA
"S1",1,1,32,"Df_silopt",0.350204734171231,0.815203924473002,1,NA,NA
"S1",1,1,32,"Ds",0.151414232308428,0.64917770304895,NA,NA,NA
"S1",1,1,32,"A",0.15995725054044,0.885674715465238,NA,NA,NA
"S1",1,1,32,"B_silopt",0.350204734171231,0.815203924473002,1,1,NA
"S1",1,1,32,"C_DK_ancien",0.175869560750101,0.931413235353764,1,NA,NA
"S1",1,1,32,"DK_reconstruit",0.167023723336048,0.940908732806725,NA,NA,6.51485449725256
"S1",1,1,33,"D0",0.273614788116551,0.756093391521637,NA,NA,NA
"S1",1,1,33,"D1",0.349643728014394,0.950726235109727,NA,NA,NA
"S1",1,1,33,"Df_silopt",0.349643728014394,0.950726235109727,1,NA,NA
"S1",1,1,33,"Ds",0.137795028303295,0.528253731836013,NA,NA,NA
"S1",1,1,33,"A",0.159813939395303,0.79977422411001,NA,NA,NA
"S1",1,1,33,"B_silopt",0.349643728014394,0.950726235109727,1,1,NA
"S1",1,1,33,"C_DK_ancien",0.179024170819482,0.969952566251795,1,NA,NA
"S1",1,1,33,"DK_reconstruit",0.158018368847179,0.950731260918252,NA,NA,6.82002395685281
"S1",1,1,34,"D0",0.272254751768749,0.788998773071741,NA,NA,NA
"S1",1,1,34,"D1",0.34673609914019,0.884954823572463,NA,NA,NA
"S1",1,1,34,"Df_silopt",0.34673609914019,0.884954823572463,1,NA,NA
"S1",1,1,34,"Ds",0.15464393120429,0.819506704760808,NA,NA,NA
